1,3793,12,1593861330
2,4325,509,1593861331
1,3858,90,1593861332
1,3714,13,1593861332
1,6073,2259,1593861332
1,4948,1216,1593861333
0,5922,2213,1593861333
2,4912,1094,1593861334
0,8694,4868,1593861331
1,4460,13,1593861336
0,5280,592,1593861336
2,5576,999,1593861337
1,8084,3791,1593861335
2,5840,1340,1593861337
0,7341,2881,1593861335
0,9210,5303,1593861334
2,9521,5427,1593861334
2,5973,1271,1593861338
1,5658,386,1593861341
2,7704,3033,1593861339
2,10204,5184,1593861338
0,6950,1002,1593861342
2,9509,4301,1593861339
1,6553,59,1593861343
0,7564,1062,1593861343
2,12118,6803,1593861339
0,10369,4768,1593861341
2,10187,4498,1593861341
2,10743,4899,1593861341
0,8356,1258,1593861345
2,11938,5073,1593861343
1,7509,63,1593861348
0,21405,17070,1593861335
0,9181,1739,1593861347
0,14732,8547,1593861342
2,15341,9142,1593861342
0,9565,1802,1593861348
2,12836,5829,1593861345
1,8018,95,1593861351
1,7995,55,1593861351
0,12365,5055,1593861348
0,16887,10591,1593861343
2,11405,4113,1593861349
1,7882,184,1593861353
1,27881,22157,1593861338
2,25772,20021,1593861340
2,26198,20326,1593861340
2,26488,20735,1593861340
1,9426,854,1593861357
0,16153,7767,1593861352
2,21189,13362,1593861347
1,18096,9646,1593861351
0,26679,19393,1593861345
2,14411,5346,1593861358
2,15115,5693,1593861358
1,11385,1000,1593861362
1,18412,9748,1593861355
2,31680,24673,1593861342
2,31635,24327,1593861343
1,26792,18645,1593861349
2,25348,17168,1593861350
1,10955,127,1593861366
2,16677,6608,1593861361
2,20006,10831,1593861358
2,26895,18031,1593861351
1,21801,12264,1593861357
2,21182,11134,1593861359
1,11361,153,1593861371
2,21658,11179,1593861361
1,48373,43683,1593861334
2,17724,6487,1593861365
1,12133,209,1593861372
0,20456,11084,1593861366
2,19431,7905,1593861368
2,19311,7715,1593861369
0,29525,20629,1593861358
0,38132,29498,1593861352
0,29900,19775,1593861361
2,23470,11998,1593861367
2,31615,21614,1593861359
2,31874,21870,1593861359
0,31474,21309,1593861360
1,12755,234,1593861379
1,34971,25482,1593861357
2,18782,7262,1593861374
0,23101,11960,1593861369
0,15690,3551,1593861377
2,54767,48661,1593861338
1,34923,25621,1593861358
1,14018,1315,1593861382
0,16881,3730,1593861381
0,33411,22227,1593861365
1,27488,15791,1593861372
0,56679,49107,1593861343
2,35172,24042,1593861365
1,65742,59844,1593861336
0,16937,3897,1593861384
1,14202,301,1593861387
1,54981,46049,1593861348
2,36476,24183,1593861367
0,36110,24492,1593861368
0,52587,43710,1593861352
0,16794,3961,1593861388
1,29804,17459,1593861375
2,22457,9309,1593861383
2,23349,10170,1593861383
2,38099,26590,1593861369
0,61800,53673,1593861346
2,27282,14870,1593861381
2,28644,15652,1593861380
0,18393,3901,1593861392
1,16052,1394,1593861395
0,47729,37252,1593861363
0,48589,37875,1593861362
2,23586,9644,1593861388
2,28852,15724,1593861382
2,23720,9825,1593861388
0,17713,3826,1593861394
2,29479,16151,1593861384
0,49955,38651,1593861365
1,62868,53737,1593861353
0,19026,4075,1593861397
0,19746,4681,1593861397
0,28813,15102,1593861388
0,39658,27761,1593861377
1,31918,18746,1593861386
2,76907,69321,1593861342
1,32537,17906,1593861389
2,41864,28689,1593861380
1,46341,33691,1593861376
1,66483,56655,1593861356
1,15847,405,1593861410
1,15515,416,1593861411
0,64309,53993,1593861363
0,42934,29851,1593861385
1,17033,233,1593861412
0,78143,69222,1593861352
2,65037,53259,1593861366
0,43576,29634,1593861387
0,21017,5080,1593861412
1,16900,304,1593861416
1,18678,1941,1593861415
1,18418,1881,1593861416
0,21722,5168,1593861413
1,74690,64131,1593861361
0,31993,17820,1593861405
0,46437,31610,1593861390
0,58664,45599,1593861378
2,34149,18911,1593861403
1,36608,21364,1593861401
1,37342,21955,1593861401
0,20685,5458,1593861418
2,47909,33487,1593861392
1,102308,95097,1593861339
2,35452,19564,1593861407
2,36595,20649,1593861407
0,23117,5485,1593861421
1,18308,429,1593861426
0,34667,18879,1593861410
0,23046,5504,1593861424
0,36693,19903,1593861414
0,50997,35493,1593861400
1,41552,25052,1593861410
1,58881,43131,1593861393
1,82960,70822,1593861369
2,39476,21834,1593861413
0,80549,68095,1593861372
2,53028,37533,1593861400
0,93257,82063,1593861360
2,53023,37375,1593861402
1,59124,43598,1593861396
1,21258,2449,1593861434
1,20984,469,1593861438
0,53293,37735,1593861406
2,33106,14026,1593861427
0,38446,20850,1593861422
0,70845,55802,1593861391
2,56338,39907,1593861406
1,62739,46634,1593861400
2,56387,39685,1593861408
0,40837,22485,1593861424
1,21157,498,1593861444
0,72077,57060,1593861394
0,26977,6447,1593861440
2,42663,24397,1593861424
0,74981,59194,1593861397
2,137795,131458,1593861335
0,75238,60086,1593861398
2,43747,24206,1593861430
1,21531,584,1593861453
0,27897,6905,1593861448
1,22109,500,1593861454
0,43013,23427,1593861433
0,28113,6841,1593861448
0,107955,95867,1593861371
2,124020,113257,1593861356
1,48457,28996,1593861432
0,61564,43694,1593861419
2,45695,25764,1593861435
2,45303,25843,1593861436
2,62652,44207,1593861422
1,50018,30059,1593861435
2,46347,25524,1593861441
0,44897,24375,1593861443
0,98654,83962,1593861390
0,46077,25164,1593861443
0,64610,45854,1593861425
0,23450,4188,1593861466
1,50895,30032,1593861439
0,45481,24932,1593861444
2,94679,78314,1593861396
2,38182,16108,1593861453
2,95369,79320,1593861397
1,73333,55312,1593861419
0,46337,25544,1593861447
2,65499,46024,1593861429
1,74196,55797,1593861422
0,85366,69147,1593861413
0,48821,26672,1593861449
0,29625,7585,1593861469
1,111043,95397,1593861389
1,24259,647,1593861477
2,139886,127477,1593861363
0,87321,70144,1593861415
0,31245,7274,1593861473
0,88893,70997,1593861417
1,26609,3138,1593861479
1,27961,3275,1593861478
0,108523,92387,1593861398
0,123815,109301,1593861383
2,69210,49078,1593861438
2,144819,132264,1593861363
0,49169,27855,1593861459
2,69775,48669,1593861438
0,49536,27705,1593861459
1,25403,567,1593861483
1,27842,3262,1593861482
1,116972,100165,1593861393
2,51883,29412,1593861458
0,30216,8204,1593861481
0,70829,49702,1593861440
1,80810,60746,1593861431
